dataset,technique,revision,avgAR,avgMov
scikitlearn,snd,0,0.234633,0.000000
scikitlearn,snd,1,0.246050,0.881493
scikitlearn,snd,2,0.211998,58.120332
scikitlearn,snd,3,0.223286,26.170139
scikitlearn,snd,4,0.253816,14.645572
scikitlearn,snd,5,0.218144,35.603600
scikitlearn,snd,6,0.233353,26.399897
scikitlearn,snd,7,0.204676,21.221793
scikitlearn,snd,8,0.192390,37.074595
scikitlearn,snd,9,0.177780,13.317291
scikitlearn,snd,10,0.155324,10.484587
scikitlearn,snd,11,0.158817,27.273556
scikitlearn,snd,12,0.166986,10.848400
scikitlearn,snd,13,0.159811,11.735105
scikitlearn,snd,14,0.171115,12.436362
scikitlearn,snd,15,0.178611,15.298040
scikitlearn,snd,16,0.182388,2.516807
scikitlearn,snd,17,0.183185,2.631104
scikitlearn,snd,18,0.174888,10.963331
scikitlearn,snd,19,0.175248,14.772925
scikitlearn,snd,20,0.162072,19.472572
scikitlearn,snd,21,0.165245,9.077566
scikitlearn,snd,22,0.166695,4.590056
scikitlearn,snd,23,0.169538,7.622310
scikitlearn,snd,24,0.169807,6.978616
scikitlearn,snd,25,0.167835,4.318480
scikitlearn,snd,26,0.161872,11.407319
scikitlearn,snd,27,0.162719,4.618795
scikitlearn,snd,28,0.168162,1.933708
scikitlearn,snd,29,0.163746,3.783377
scikitlearn,snd,30,0.174934,3.938867
scikitlearn,snd,31,0.172694,1.571511
scikitlearn,snd,32,0.174409,1.837687
scikitlearn,snd,33,0.172103,2.637865
scikitlearn,snd,34,0.174825,17.353479
scikitlearn,snd,35,0.175245,6.651469
scikitlearn,snd,36,0.172684,3.416063
scikitlearn,snd,37,0.172598,2.043104
scikitlearn,snd,38,0.173751,3.287377
scikitlearn,snd,39,0.173802,6.869771
scikitlearn,snd,40,0.182733,6.137118
scikitlearn,snd,41,0.179625,7.834935
scikitlearn,snd,42,0.174221,24.193655
scikitlearn,snd,43,0.174334,0.758463
scikitlearn,snd,44,0.173097,3.997321
scikitlearn,snd,45,0.172206,0.701222
scikitlearn,snd,46,0.171399,2.442563
scikitlearn,snd,47,0.173173,4.780637
scikitlearn,snd,48,0.168785,2.613122
scikitlearn,snd,49,0.168893,0.644394
scikitlearn,snd,50,0.167426,7.019886
scikitlearn,snd,51,0.166703,0.414800
scikitlearn,snd,52,0.164791,0.748374
scikitlearn,snd,53,0.166286,2.269008
scikitlearn,snd,54,0.166424,4.795693
scikitlearn,snd,55,0.166000,0.756121
scikitlearn,snd,56,0.164179,2.425382
scikitlearn,snd,57,0.164179,0.631505
scikitlearn,snd,58,0.163647,2.316720
scikitlearn,snd,59,0.161408,1.414102
scikitlearn,snd,60,0.163485,0.914453
scikitlearn,snd,61,0.166395,1.639894
scikitlearn,snd,62,0.166653,4.525492
scikitlearn,snd,63,0.166851,0.374954
scikitlearn,snd,64,0.170676,3.884122
scikitlearn,snd,65,0.166957,3.706594
scikitlearn,snd,66,0.168603,0.374974
scikitlearn,snd,67,0.174648,3.369222
scikitlearn,snd,68,0.169145,7.399305
scikitlearn,snd,69,0.167959,4.569428
scikitlearn,snd,70,0.229186,55.694801
scikitlearn,snd,71,0.227988,0.381058
scikitlearn,snd,72,0.228275,1.020861
scikitlearn,snd,73,0.226491,0.707768
scikitlearn,snd,74,0.224215,1.496902
scikitlearn,snd,75,0.223893,1.252096
scikitlearn,snd,76,0.223807,0.176681
scikitlearn,snd,77,0.223149,0.427424
scikitlearn,snd,78,0.222094,0.986655
scikitlearn,snd,79,0.220752,1.731559
scikitlearn,snd,80,0.219596,1.083182
scikitlearn,snd,81,0.219027,0.880799
scikitlearn,snd,82,0.218907,0.782130
scikitlearn,snd,83,0.217912,1.019261
scikitlearn,snd,84,0.217704,0.370036
scikitlearn,snd,85,0.218103,0.577042
scikitlearn,snd,86,0.218658,0.938002
scikitlearn,snd,87,0.218642,0.295233
